id,name,lat,lng
1,CE-710 Molino del Rey - Glorieta de la Lealtad,19.416795,-99.192508
5,CE-407  Prolongación Xochicalco-General Emiliano Zapata,19.367266,-99.158656
6,CE-428  Prolongación Uxmal-Av. Popocatépetl (Eje 8),19.363404,-99.160395
7,CE-427 Avenida México-Coyoacán-Av. Popocatépetl (Eje 8),19.364906,-99.162987
8,CE-443 Bruno Traven-Golondrinas,19.359583,-99.162085
9,CE-423 Moras-José María Rico (Eje 8),19.367816,-99.175269
10,CE-438 Adolfo Prieto-José María Olloqui,19.36473,-99.174447
11,CE-415 San Francisco-Parroquia,19.37099,-99.176135
12,CE-417 Goya-Augusto Rodin,19.373198,-99.184274
14,CE-022 Reforma - Manchester,19.424784,-99.172119
15,CE-094 Lic. Verdad-Moneda,19.433766,-99.130918
16,CE-405 División Del Norte-Municipio Libre,19.370566,-99.156622
17,CE-375 Tenayuca-División Del Norte,19.376997,-99.158779
18,CE-394 Dr. Roberto Gayol-Félix Cuevas,19.372474,-99.171639
19,CE-337 San Borja-Martín Mendalde,19.384849,-99.16704
20,CE-412 Parroquia-Avenida Universidad,19.368107,-99.164376
21,CE-381 San Lorenzo-Manzanas,19.375543,-99.178011
22,CE-332 Calle 27-Avenida 3,19.385494,-99.183744
23,CE-399 Heriberto Frías-San Lorenzo,19.372469,-99.164538
24,CE-377 Heriberto Frías-Miguel Laurent,19.375397,-99.163778
25,CE-360 Heriberto Frías-Matias Romero,19.379435,-99.162794
26,CE-362 Augusto Rodin-Alberto Balderas,19.382123,-99.181091
27,CE-365 Holbein-Avenida Revolución,19.381123,-99.18667
28,CE-424 Amores-José María Rico (Eje 8),19.367103,-99.170581
29,CE-421 María Luz Bringas-Oso,19.36952,-99.179421
30,CE-287 13 de Septiembre-Puente de la Morena,19.398946,-99.183254
31,CE-288 11 de Abril-Avenida 2,19.39634,-99.183571
32,CE-372 Dr. Roberto Gayol-Tlacoquemécatl,19.377966,-99.170272
33,CE-434 Jose María Olloqui-Amores,19.363699,-99.171185
34,CE-439 Amores-Avenida Coyoacán,19.362037,-99.172683
35,CE-378 Miguel Laurent-Amores,19.375865,-99.168219
36,CE-437 Moras-Comunal,19.364916,-99.175985
37,CE-374 Pitágoras-Pilares,19.376959,-99.161099
38,CE-384 Empresa-Poussin,19.375865,-99.185573
39,CE-348 Indiana-Avenida San Antonio,19.385457,-99.178272
40,CE-397 San Lorenzo-Gabriel Mancera,19.373136,-99.167067
41,CE-353 Carolina-Holbein,19.382335,-99.178884
42,CE-387 Cadiz-Empresa,19.374267,-99.180546
43,CE-367 Boston -Augusto Rodin,19.379593,-99.181351
44,CE-390-391 Oso-Félix Cuevas,19.373161,-99.178243
45,CE-303 Montecito-Av. Insurgentes,19.394862,-99.173006
46,CE-370 Tlacoquemécatl-Av. Insurgentes,19.378827,-99.176944
47,CE-354 Boston-Av. Insurgentes,19.381714,-99.176664
48,CE-333 Georgia-Carolina,19.387624,-99.180978
49,CE-445-446 Riff-Avenida Río Churubusco,19.358571,-99.156102
50,CE-429 Pirineos-Av. Popocatépetl (Eje 8),19.363061,-99.158334
51,CE-414 Parroquia-José Ignacio Bartolache,19.370214,-99.173855
52,CE-432 Carrillo Puerto-Avenida México-Coyoacan,19.361245,-99.16239
53,CE-358 Nicolás San Juan-Matias Romero,19.380087,-99.16427
55,CE-409 Azores - División Del Norte,19.365023,-99.15549
56,CE-413 Parroquia-Avenida Coyoacán,19.369823,-99.172164
57,CE-345 Patricio Sanz - Miraflores,19.384447,-99.172039
58,CE-419 Actipan-Cadiz,19.370615,-99.181606
59,CE-307 Minnesota-Dakota,19.393712,-99.175815
60,CE-361 Porfirio Díaz-Capulín,19.380691,-99.175036
61,CE-393 Adolfo Prieto-Félix Cuevas,19.373307,-99.172471
62,CE-306 Dakota-Minnesota,19.393699,-99.175664
63,CE-349 Augusto Rodin-Avenida San Antonio,19.385632,-99.180848
64,CE-284 Dakota-Vermont,19.397693,-99.172981
65,CE-308 Nueva York-Arizona,19.393643,-99.178156
66,CE-312 Avenida 2-Calle 7,19.392709,-99.183732
67,CE-325 Providencia -Avenida Del Valle,19.388178,-99.169667
68,CE-327 Georgia -Pensilvania,19.38885,-99.17772
69,CE-335 Magdalena-Ameyalco,19.386989,-99.173438
70,CE-324 Amores-Avenida Eugenia,19.387483,-99.165409
71,CE-059 Popocatépetl - Ámsterdam,19.415237,-99.16659
72,CE-072 Mazatlán - Alfonso Reyes,19.409859,-99.179565
73,CE-067 Vicente Suárez - Michoacán,19.411814,-99.175957
74,CE-343 Enrique Rébsamen-División Del Norte,19.384079,-99.160915
75,CE-330 Calle 15-Avenida Patriotismo,19.389358,-99.182606
76,CE-315 Alabama-Montana,19.391444,-99.173687
77,CE-341 San Borja-Avenida Cuauhtémoc,19.382889,-99.158352
78,CE-300 Providencia -Luz Saviñón,19.393229,-99.168394
79,CE-074 Nuevo León - Ozulama,19.410468,-99.172802
80,CE-042 Sinaloa - Valladolid,19.420627,-99.16821
81,CE-076 Chilpancingo - Campeche,19.408689,-99.169938
82,CE-064 Sonora - Ámsterdam,19.412967,-99.166925
83,CE-056 Alvaro Obregón - Medellin,19.417102,-99.165607
84,CE-071 Amsterdam - Michoacan,19.411361,-99.171271
85,CE-083 Alfonso Reyes - Nuevo León,19.40655,-99.172275
86,CE-081 Aguascalientes - Insurgentes,19.407927,-99.168734
87,CE-079 Saltillo - Alfonso Reyes,19.407549,-99.174348
88,CE-128 Orizaba-Río de Janeiro,19.422148,-99.160645
89,CE-049 Mazatlán - Juan de la Barrera,19.41689,-99.17562
90,CE-066 Mazatlán - Francisco Márquez,19.411825,-99.178456
91,CE-040 Oaxaca - Puebla,19.422351,-99.164174
92,CE-053 Fernando Montes de Oca - Tula,19.414823,-99.178353
93,CE-046 Durango - Salamanca,19.419107,-99.169735
94,CE-447 Agustín Melgar-Zamora,19.418879,-99.176854
95,CE-060 Mazatlán - Fernando Montes de Oca,19.414099,-99.177158
96,CE-302 Luz Saviñón-Magdalena,19.393914,-99.171675
97,CE-070 Parque México - Michoacán,19.41128,-99.169825
98,CE-125 Morelia-Circular de Morelia,19.424197,-99.156127
99,CE-100 20 de Noviembre-Mesones,19.428485,-99.1338
100,CE-105 San Jerónimo-5 de Febrero,19.426755,-99.135014
101,CE-102 Echeveste-Bolivar,19.428214,-99.139494
102,CE-097 República de Salvador-Pino Suárez,19.429189,-99.132759
103,CE-099 Ernesto Pugibet-Luis Moya,19.429947,-99.14591
104,CE-107-108 Tolsa-Balderas,19.427305,-99.149533
105,CE-122 José María Vértiz-Av. Dr. Río de la Loza,19.425502,-99.146337
106,CE-029 Reforma - Bucareli,19.434944,-99.150295
107,CE-110 Dr. Valenzuela-Dr. Río de la loza,19.425126,-99.143391
108,CE-093 Palma Norte-República de Cuba,19.436741,-99.134811
109,CE-091 Republica de Cuba-Allende,19.4374,-99.137571
110,CE-112 Av. Morelos-Abraham González,19.432819,-99.151734
111,CE-065 Marconi - Tacuba,19.436522,-99.139811
112,CE-088 2a Cerrada de 5 de Mayo - Palma,19.433757,-99.135331
113,CE-003 Reforma - Insurgentes,19.43163,-99.158547
114,CE-109 Nezahualcóyotl-Isabel la Católica,19.425311,-99.137421
115,CE-113 General Prim-Versalles,19.430369,-99.154419
116,CE-123 Claudio Bernard-Dr. Lavista,19.424161,-99.153117
117,CE-259 Tómas Alva Edison-Ponciano Arriaga,19.437569,-99.15468
118,CE-260 Av. Juárez-Balderas,19.435311,-99.147786
119,CE-016 Reforma - Río Tiber,19.426753,-99.168619
120,CE-025 Reforma - Estocolmo,19.427338,-99.16672
121,CE-116 Londres-Roma,19.428985,-99.15664
122,CE-019 Reforma - Río Rhin,19.429453,-99.16283
123,CE-005 Río Pánuco Río Tiber,19.429804,-99.169451
124,CE-261 Paseo de la Reforma-Río de la Plata,19.42491,-99.172455
125,CE-263 Sadi Carnot - Gómez Farias,19.436274,-99.158425
126,CE-111 Guillermo Prieto - Joaquín Velázquez de León,19.438197,-99.165918
127,CE-265 Mina - Jesús García,19.440839,-99.152265
128,CE-264-275 Héroes Ferrocarrileros - Jesús Garcia,19.440985,-99.152935
129,CE-255 José Rosas Moreno-Guillermo Prieto,19.437118,-99.161862
130,CE-268-269 Luis Donaldo Colosio - Av. Jesús García,19.442467,-99.151658
131,CE-007 Río Elba - Río Lerma,19.425355,-99.17515
132,CE-254 Alfonso Herrera-Miguel Shultz,19.439177,-99.159957
