id,name
2,(GDL-001) C. Epigmenio Glez./ Av. 16 de Sept.
3,(GDL-002) C. Colonias  / Av.  Niños héroes
4,(GDL-003) C. Vidrio / Av. Chapultepec
5,(GDL-004) C. Ghilardi /C. Miraflores
6,(GDL-005) C. San Diego /Calzada Independencia
8,(GDL-006) C. Venustiano Carranza /C. Reforma
9,(GDL-007) C. Epigmenio Glez./Av. Cristobal C.
10,(GDL-008) C. Ignacio Zaragoza / C. J. Angulo
11,(GDL-009) Calz. Federalismo/ C. J. Angulo
12,(GDL-010) C. Cruz verde / C. Joaquin Angulo
13,(GDL-011) C. Garibaldi / C. Frías
14,(GDL-012) C. Joaquín Angulo / C. Ghilardi
15,(GDL-013) C. Vidrio  / C. Marsella
16,(GDL-014) C. J. Angulo/C José Clemente Orozco
17,(GDL-015) C. Herrera y Cairo /C. Pedro Buzeta
18,(GDL-016) C. Bernardo de Balbuena/C J. Angulo
19,(GDL-017) Av. México /C. Bernardo de Balbuena
20,(GDL-018) Av. México / C. Manuel M. Diéguez
21,(GDL-019)  C. Juan Manuel / C. Andrés Terán
22,Ex-GDL-020 Juan Manuel / C.General Coronado
23,(GDL-021) C. Nicolás Romero / C. Reforma
24,(GDL-022) C. San Felipe /C Enrique D. de León
25,(GDL-023) C. Jesús / C. San Felipe
26,(GDL-024) Av.  Federalismo / C. Juan Manuel
27,(GDL-025) C. Reforma / C. González Ortega
28,(GDL-026) C. Pedro Loza / C. Reforma
29,(GDL-027) C. Belén / C. San Felipe
30,(GDL-028) C. Gregorio Dávila /C. Manuel Acuña
31,(GDL-029) Calz. Indep. /C. Juan Manuel
32,(GDL-030) C. Pedro Moreno/ C. Progreso
33,(GDL-031) C. Hospital / C. Andrés Terán
34,(GDL-032) C. Degollado / Av. Miguel Hidalgo
35,(GDL-033) Av. Hidalgo / C. Pedro Loza
36,(GDL-034) C. Morelos / C. Donato Guerra
37,(GDL-035) C. Mezquitán / Av. Hidalgo
38,(GDL-036) C. Marcos Castellanos/ C. Morelos
39,(GDL-037) C.Juan N. Cumplido /C. Independenci
40,(GDL-038) C. Nicolás Romero / Av. Hidalgo
41,(GDL-039) C. General Coronado / Av. Hidalgo
42,(GDL-040) C. Morelos / C. Progreso
43,(GDL-041) C. Manuel M. Diéguez / Av. Hidalgo
44,(GDL-042) C. Bernardo de Balbuena /Av Hidalgo
45,(GDL-043) C. Simón Bolivar / C. López Cotilla
46,(GDL-044) C. Gral. San Martín /Av.  Vallarta
47,(GDL-045) C. Pedro Moreno / C. Marsella
48,(GDL-046) C. Emerson / Av. Vallarta
49,(GDL-047) C. Robles Gil / Av. Vallarta
50,(GDL-048) C. Constancio Hernández/ Av. Juaréz
51,(GDL-049) Lopez Cotilla / Penitenciaría
52,(GDL-050) C.Pedro Moreno /Federalismo
53,(GDL-051) C. 8 de Julio / Av. Juárez
54,(GDL-052) Av. Juarez /16 de Septiembre
55,(GDL-053) C. Maestranza / Av. Juárez
56,(GDL-054) Av. Juárez / Calz. Independencia
57,(GDL-055) C. Degollado /C.Prisciliano Sánchez
58,(GDL-056) Av. 16 de Sept. / C. Miguel Blanco
59,(GDL-057) C. Ocampo / C. Prisciliano Sánchez
